section,model,variable,coef,std_err,t_stat,p_value,sig,nobs,r2,adj_r2
MODEL 1 — Baseline: ret_1d ~ divergence + FE_quarter,Baseline (ret_1d),const,-0.010102223939755732,0.03316921320018011,-0.3045662819551257,0.7606965037127736,,1492,0.031414890366180837,0.008812355206572087
MODEL 1 — Baseline: ret_1d ~ divergence + FE_quarter,Baseline (ret_1d),divergence,0.006934256416898822,0.00217680723652147,3.185516981273793,0.0014449562348800827,***,1492,0.031414890366180837,0.008812355206572087
MODEL 1 — Baseline: ret_3d ~ divergence + FE_quarter,Baseline (ret_3d),const,-0.004597107685846907,0.03488206907727934,-0.1317899943280963,0.895150400888414,,1492,0.031548763958428094,0.008949352822248624
MODEL 1 — Baseline: ret_3d ~ divergence + FE_quarter,Baseline (ret_3d),divergence,0.01018924970518589,0.002511069790912165,4.0577325815721625,4.9551460247368354e-05,***,1492,0.031548763958428094,0.008949352822248624
MODEL 1 — Baseline: ret_5d ~ divergence + FE_quarter,Baseline (ret_5d),const,-0.014300193810237607,0.03620613651946114,-0.39496602468344333,0.6928679621150526,,1492,0.05299480591196171,0.030895851485748027
MODEL 1 — Baseline: ret_5d ~ divergence + FE_quarter,Baseline (ret_5d),divergence,0.010959483710569507,0.002857110761733986,3.8358623884494327,0.0001251244575693482,***,1492,0.05299480591196171,0.030895851485748027
MODEL 2 — Size interaction: ret_1d ~ div + div×SmallCap + FE,Size interaction (ret_1d),const,-0.010630182694088842,0.032732965015070316,-0.3247546529681832,0.7453667674600464,,1492,0.03431500570531365,0.01110142411169146
MODEL 2 — Size interaction: ret_1d ~ div + div×SmallCap + FE,Size interaction (ret_1d),divergence,0.004558442022398532,0.0024877912939405217,1.8323249355769775,0.0669030241857338,*,1492,0.03431500570531365,0.01110142411169146
MODEL 2 — Size interaction: ret_1d ~ div + div×SmallCap + FE,Size interaction (ret_1d),div_x_small,0.010562781031988423,0.005054126762394777,2.0899319563135577,0.036623912471325445,**,1492,0.03431500570531365,0.01110142411169146
MODEL 2 — Size interaction: ret_1d ~ div + div×SmallCap + FE,Size interaction (ret_1d),is_smallcap,0.008034012332682777,0.029392267154261957,0.2733376193989113,0.7845936998572586,,1492,0.03431500570531365,0.01110142411169146
MODEL 2 — Size interaction: ret_3d ~ div + div×SmallCap + FE,Size interaction (ret_3d),const,-0.005443917321012907,0.034313889741840076,-0.15865054536137171,0.8739442036370063,,1492,0.036722448013851716,0.013566737629569392
MODEL 2 — Size interaction: ret_3d ~ div + div×SmallCap + FE,Size interaction (ret_3d),divergence,0.006378606346938159,0.002684338575952263,2.3762301835100526,0.017490547963436756,**,1492,0.036722448013851716,0.013566737629569392
MODEL 2 — Size interaction: ret_3d ~ div + div×SmallCap + FE,Size interaction (ret_3d),div_x_small,0.016941976392325732,0.006739163703296377,2.513958280022012,0.011938455581396282,**,1492,0.036722448013851716,0.013566737629569392
MODEL 2 — Size interaction: ret_3d ~ div + div×SmallCap + FE,Size interaction (ret_3d),is_smallcap,0.003176267767586206,0.031019308393349806,0.10239647278103603,0.9184419832708192,,1492,0.036722448013851716,0.013566737629569392
MODEL 2 — Size interaction: ret_5d ~ div + div×SmallCap + FE,Size interaction (ret_5d),const,-0.01556025532236311,0.035218314716102664,-0.44182282564612857,0.6586174198440953,,1492,0.06174630190100838,0.039192126465936505
MODEL 2 — Size interaction: ret_5d ~ div + div×SmallCap + FE,Size interaction (ret_5d),divergence,0.005289206906001734,0.0029807986377826438,1.774426101434436,0.0759926955990766,*,1492,0.06174630190100838,0.039192126465936505
MODEL 2 — Size interaction: ret_5d ~ div + div×SmallCap + FE,Size interaction (ret_5d),div_x_small,0.025209836431692063,0.007827141133921621,3.2208230310855805,0.0012782305094399433,***,1492,0.06174630190100838,0.039192126465936505
MODEL 2 — Size interaction: ret_5d ~ div + div×SmallCap + FE,Size interaction (ret_5d),is_smallcap,0.012726728069724297,0.03188726148721464,0.39911637049256,0.6898074604518423,,1492,0.06174630190100838,0.039192126465936505
MODEL 3 — Full: ret_1d ~ div + controls + FE,Full (ret_1d),const,-0.010487051239993009,0.0332509844332032,-0.31539069951628346,0.7524650274897626,,1492,0.035175175422925586,0.010623236970826788
MODEL 3 — Full: ret_1d ~ div + controls + FE,Full (ret_1d),divergence,0.003217496254063527,0.0016908512523724677,1.902885454618786,0.05705549333332487,*,1492,0.035175175422925586,0.010623236970826788
MODEL 3 — Full: ret_1d ~ div + controls + FE,Full (ret_1d),div_x_small,0.010908898005850392,0.005044656441150111,2.1624659940892457,0.030582275525715852,**,1492,0.035175175422925586,0.010623236970826788
MODEL 3 — Full: ret_1d ~ div + controls + FE,Full (ret_1d),is_smallcap,0.007415453625502718,0.029613650778790412,0.2504066006888194,0.8022729255783929,,1492,0.035175175422925586,0.010623236970826788
MODEL 3 — Full: ret_1d ~ div + controls + FE,Full (ret_1d),score_exec,-0.0008784105805520817,0.0021701204119877297,-0.4047750418362723,0.6856428761086037,,1492,0.035175175422925586,0.010623236970826788
MODEL 3 — Full: ret_1d ~ div + controls + FE,Full (ret_1d),score_analyst,-0.004095906834615729,0.0025858951884720587,-1.583941550637982,0.11320702074249389,,1492,0.035175175422925586,0.010623236970826788
MODEL 3 — Full: ret_1d ~ div + controls + FE,Full (ret_1d),n_chunks_exec,-0.0004563363606789521,0.0023098561591370107,-0.1975605099364476,0.8433889342649736,,1492,0.035175175422925586,0.010623236970826788
MODEL 3 — Full: ret_3d ~ div + controls + FE,Full (ret_3d),const,-0.004567184819208262,0.03474558950299665,-0.13144646225715534,0.8954221359181193,,1492,0.036827099268123664,0.012317197392553325
MODEL 3 — Full: ret_3d ~ div + controls + FE,Full (ret_3d),divergence,0.004313121446298372,0.0018117117486631561,2.380688566755159,0.017280314323577853,**,1492,0.036827099268123664,0.012317197392553325
MODEL 3 — Full: ret_3d ~ div + controls + FE,Full (ret_3d),div_x_small,0.017055248309976408,0.006740690787690751,2.530192950123329,0.011399981600276452,**,1492,0.036827099268123664,0.012317197392553325
