speaker_role,count,mean,median,std
exec,6566,-0.3456449530771797,-0.5,0.6381258388099036
analyst,2841,-0.158060542062654,0.0,0.5045781687853179
other,1673,-0.019824666268180913,0.0,0.17183616404196556
